国家/地区,点击次数,展示,点击率,排名
保加利亚,0,45,0%,14.36
克罗地亚,0,43,0%,16.02
立陶宛,0,40,0%,13.05
塞舌尔,0,35,0%,7.83
白俄罗斯,0,35,0%,11.71
格鲁吉亚,0,33,0%,26.33
牙买加,0,32,0%,7.28
拉脱维亚,0,32,0%,15.38
伊朗,0,31,0%,6.58
埃塞俄比亚,0,30,0%,19.27
尼泊尔,0,28,0%,9.96
突尼斯,0,28,0%,24.11
波斯尼亚和黑塞哥维那,0,26,0%,12.38
乌兹别克斯坦,0,24,0%,9
摩尔多瓦,0,23,0%,6.57
乌拉圭,0,23,0%,9.22
澳门,0,22,0%,12.73
巴拉圭,0,22,0%,12.91
波多黎各,0,22,0%,13
洪都拉斯,0,22,0%,13.91
巴哈马,0,20,0%,7.35
巴拿马,0,20,0%,12.6
亚美尼亚,0,20,0%,18.55
斯洛文尼亚,0,20,0%,21.05
坦桑尼亚,0,20,0%,39.65
斯里兰卡,0,19,0%,21.11
约旦,0,18,0%,20.06
阿尔巴尼亚,0,17,0%,6.71
玻利维亚,0,16,0%,6.25
加纳,0,16,0%,8.31
塞浦路斯,0,16,0%,12.44
哥斯达黎加,0,15,0%,15.13
卡塔尔,0,14,0%,12.86
科索沃,0,13,0%,6
巴勒斯坦,0,13,0%,8.92
塞内加尔,0,13,0%,16.38
科威特,0,13,0%,65.08
危地马拉,0,12,0%,7.5
巴巴多斯,0,11,0%,9
阿塞拜疆,0,11,0%,9.09
萨尔瓦多,0,11,0%,9.82
冰岛,0,11,0%,20.09
黎巴嫩,0,11,0%,22.82
卢森堡,0,9,0%,17.22
马其顿,0,9,0%,20.44
马达加斯加,0,8,0%,8.75
缅甸,0,8,0%,9.38
未知地区,0,8,0%,9.88
毛里求斯,0,8,0%,28.12
阿富汗,0,8,0%,29.25
也门,0,7,0%,6.14
黑山,0,7,0%,18.14
蒙古,0,6,0%,5.17
马耳他,0,6,0%,5.5
吉尔吉斯斯坦,0,6,0%,6.5
巴林,0,6,0%,10.5
叙利亚,0,5,0%,4.2
马拉维,0,5,0%,5.4
曼岛,0,5,0%,6.4
多哥,0,5,0%,8
乌干达,0,5,0%,8.2
喀麦隆,0,4,0%,7.75
老挝,0,4,0%,8.5
利比亚,0,4,0%,9
安哥拉,0,4,0%,13.5
圭亚那,0,4,0%,32.25
圣卢西亚,0,3,0%,4.33
圣基茨和尼维斯,0,3,0%,5
科特迪瓦,0,3,0%,5.67
格林纳达,0,3,0%,6
百慕大,0,3,0%,6.67
库拉索,0,3,0%,7
巴布亚新几内亚,0,3,0%,8
美属维尔京群岛,0,3,0%,8.33
圣赫勒拿岛,0,3,0%,10
文莱,0,3,0%,10.33
加勒比荷兰,0,3,0%,10.67
泽西岛,0,3,0%,16.67
纳米比亚,0,2,0%,5.5
布基纳法索,0,2,0%,7
刚果 - 金沙萨,0,2,0%,7
直布罗陀,0,2,0%,7
莫桑比克,0,2,0%,7
塞拉利昂,0,2,0%,7.5
圣文森特和格林纳丁斯,0,2,0%,7.5
博茨瓦纳,0,2,0%,9
几内亚,0,2,0%,10.5
马尔代夫,0,2,0%,10.5
阿鲁巴,0,2,0%,11.5
尼加拉瓜,0,2,0%,13.5
津巴布韦,0,2,0%,17.5
赞比亚,0,2,0%,20.5
加蓬,0,1,0%,1
开曼群岛,0,1,0%,2
马里,0,1,0%,2
斐济,0,1,0%,4
马提尼克,0,1,0%,4
利比里亚,0,1,0%,5
朝鲜,0,1,0%,5
安道尔,0,1,0%,6
南极洲,0,1,0%,6
英属维尔京群岛,0,1,0%,6
海地,0,1,0%,7
苏丹,0,1,0%,7
塔吉克斯坦,0,1,0%,7
苏里南,0,1,0%,8
法属波利尼西亚,0,1,0%,9
土库曼斯坦,0,1,0%,9
伯利兹,0,1,0%,10
刚果 - 布拉柴维尔,0,1,0%,10
瓜德罗普,0,1,0%,19
索马里,0,1,0%,27
